alpha_vector_count,analysis_discounted_tail_bound,analysis_horizon,analysis_total_belief_nodes,beta,beta_index,discounted_transmission_occupancy,epsilon,epsilon_index,gamma,gamma_index,index,margin,margin_region,mdp_seed,normal_minus_restricted_lower,normal_minus_restricted_upper,normal_minus_restricted_value,normal_policy_horizon,normal_policy_interval_width,normal_policy_lower_bound,normal_policy_total_belief_nodes,normal_policy_upper_bound,normal_policy_value,point_id,restricted_lower_bound_status,restricted_policy_horizon,restricted_policy_interval_width,restricted_policy_lower_bound,restricted_policy_total_belief_nodes,restricted_policy_upper_bound,reused_solver_checkpoint,root_gap,sampled_belief_count,sarsop_gap,sarsop_lower_bound,sarsop_upper_bound,solver_elapsed_seconds,solver_iterations,solver_stop_reason,status,unrestricted_upper_minus_restricted_lower,violation_count,violation_discounted_event_occupancy,violation_first_depth_max,violation_first_depth_min
8,9.67774912024056e-09,197,8223,0.0,0,7.86485797749652,0.01,0,0.9,0,0,-0.08910000000000003,m<0,1111,0.003955332671583989,0.0049549318335895265,0.004455132252586758,94,0.0004997995814708389,5.120773404486956,22492,5.121273204068427,5.121023304277691,g0_b00_e00,ok,94.0,0.0004997995805346989,5.116318272234837,24770.0,5.116818071815372,False,0.00852374706837781,617653,0.008442147732375282,5.117625029332202,5.126067177064577,3.1877939701080322,25,precision,ok,0.009748904829740113,83,5.286399730208336,13.0,0.0
8,9.67774912024056e-09,197,5949,0.0,0,6.577734370416953,0.020000000000000004,1,0.9,0,1,-0.1764000000000001,m<0,1111,0.014325348460996423,0.015324947622096019,0.014825148041546221,94,0.0004997995805346989,5.1121745386221225,16393,5.112674338202657,5.11242443841239,g0_b00_e01,ok,94.0,0.0004997995805648969,5.097349390580561,10280.0,5.097849190161126,False,0.0105417009151597,712468,0.010423294817905493,5.111867776094693,5.122291070912598,4.098989009857178,36,precision,ok,0.02494168033203703,35,4.777406769017712,12.0,0.0
7,9.67774912024056e-09,197,6740,0.0,0,7.791944442606073,0.030000000000000006,2,0.9,0,2,-0.26190000000000013,m<0,1111,0.02070089564137767,0.021700494803656767,0.02120069522251722,94,0.0004997995817443979,5.103374686728748,18583,5.103874486310493,5.10362458651962,g0_b00_e02,ok,94.0,0.0004997995805346989,5.082173991506836,52101.0,5.0826737910873705,False,0.011100503457328357,1387009,0.01093866671491206,5.103631395488852,5.114570062203764,16.52996802330017,62,precision,ok,0.032396070696928625,87,5.894338552242319,10.0,0.0
10,9.67774912024056e-09,197,9685,0.0,0,7.4989033591319005,0.04000000000000001,3,0.9,0,3,-0.34560000000000013,m<0,1111,0.028602204499851958,0.029601803660955106,0.029102004080403532,94,0.0004997995805329225,5.094384121333804,26269,5.094883920914337,5.094634021124071,g0_b00_e03,ok,94.0,0.000499799580570226,5.065282117253382,18755.0,5.065781916833952,False,0.010369278219146436,2658433,0.010344958000119142,5.094640773277241,5.1049857312773605,61.65520405769348,85,precision,ok,0.039703614023978595,58,5.54026102818182,16.0,0.0
7,9.67774912024056e-09,197,10879,0.0,0,6.456115413350787,0.05000000000000001,4,0.9,0,4,-0.4275000000000002,m<0,1111,0.03456815475181152,0.03556775391461109,0.035067954333211304,94,0.0004997995822657586,5.085203025422052,29637,5.085702825004318,5.085452925213185,g0_b00_e04,ok,94.0,0.0004997995805338107,5.050135071089707,56192.0,5.05063487067024,False,0.011104467526683592,2729770,0.010950774756000925,5.085459175581842,5.096409950337843,68.72595405578613,100,precision,ok,0.046274879248136,134,4.480013991670669,14.0,0.0
5,9.67774912024056e-09,197,7769,0.0,0,3.275685253926822,0.06000000000000001,5,0.9,0,5,-0.5076000000000002,m<0,1111,0.042338827039644755,0.04333842620074968,0.042838626620198106,94,0.0004997995805338107,5.0758315284009,21088,5.076331327981434,5.076081428191167,g0_b00_e05,ok,94.0,0.0004997995805711142,5.032992901780684,12683.0,5.033492701361255,False,0.01010966321908471,4722691,0.010013318542569039,5.076087166195982,5.086100484738551,232.50080108642578,179,precision,ok,0.05310758295786666,40,1.4314782442508809,17.0,0.0
6,9.67774912024056e-09,197,7409,0.0,0,3.2862065950639288,0.07,6,0.9,0,6,-0.5859000000000002,m<0,1111,0.00859382970157263,0.009593428862640252,0.00909362928210733,94,0.0004997995805346989,5.066269716450295,20170,5.0667695160308295,5.066519616240562,g0_b00_e06,ok,94.0,0.0004997995805329225,5.057176087168189,20135.0,5.057675886748722,False,0.010964127205115304,4221526,0.010937963653527838,5.06652482836287,5.077462792016398,176.37302494049072,178,precision,ok,0.020286704848208714,2,0.47261514453219455,0.0,0.0
7,9.67774912024056e-09,197,8127,0.0,0,3.2968165804464724,0.08,7,0.9,0,7,-0.6624000000000002,m<0,1111,0.009685712112265321,0.010685311273332943,0.01018551169280002,94,0.0004997995805329225,5.0565176213825715,21992,5.0570174209631045,5.056767521172839,g0_b00_e07,ok,94.0,0.0004997995805346989,5.0463321096897715,21953.0,5.046831909270306,False,0.011168348983465748,6802300,0.01103134543161044,5.056772195095514,5.067803540527124,501.79154896736145,265,max_time,ok,0.02147143083735248,2,0.46250218553706524,0.0,0.0
5,9.67774912024056e-09,197,7948,0.0,0,3.3075177021740956,0.09000000000000001,8,0.9,0,8,-0.7371000000000003,m<0,1111,0.06194715871622769,0.06294675787733439,0.06244695829678015,94,0.0004997995805382516,5.046575224958534,21543,5.0470750245390725,5.046825124748803,g0_b00_e08,ok,94.0,0.0004997995805684496,4.984128266661738,12693.0,4.984628066242307,False,0.01098681512953349,6609961,0.01083514727764534,5.04682924814391,5.057664395421555,458.716922044754,229,precision,ok,0.07353612875981685,41,1.3804369663521094,18.0,0.0
15,9.67774912024056e-09,197,6866,0.0,0,8.999982634041965,0.1,9,0.9,0,9,-0.8100000000000004,m<0,1111,0.02089254862206502,0.02189214778393822,0.021392348203002065,94,0.0004997995812896505,5.036442577863944,18791,5.036942377445234,5.03669247765459,g0_b00_e09,ok,94.0,0.0004997995805835487,5.015050229661296,47161.0,5.015550029241879,False,0.010959590978320615,6297523,0.010838081335274197,5.036696038129014,5.047534119464288,386.72520995140076,268,precision,ok,0.032483889802992216,76,5.556206567568985,15.0,0.0
